"gene_id","marker_symbol","ensembl_id","feature_types","biotypes"
"MGI:1346069","Cdh20","ENSMUSG00000050840","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2442792","Cdh7","ENSMUSG00000026312","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3583944","Cdk15","ENSMUSG00000026023","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:97518","Cdk18","ENSMUSG00000026437","protein coding gene","protein-coding|protein_coding"
"MGI:1330828","Cdk5r2","ENSMUSG00000090071","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1313302","Cenpf","ENSMUSG00000026605","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1917704","Cenpl","ENSMUSG00000026708","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1918348","Cep170","ENSMUSG00000057335","protein coding gene","protein-coding|protein_coding"
"MGI:1921331","Cep350","ENSMUSG00000033671","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:109448","Cfc1","ENSMUSG00000026124","protein coding gene","protein-coding|protein_coding"
"MGI:88385","Cfh","ENSMUSG00000026365","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2138169","Cfhr1","ENSMUSG00000057037","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3611575","Cfhr2","ENSMUSG00000033898","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3647418","Cfhr3","ENSMUSG00000090623","protein coding gene","protein-coding|protein_coding"
"MGI:1336166","Cflar","ENSMUSG00000026031","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1340899","Chi3l1","ENSMUSG00000064246","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1919134","Chit1","ENSMUSG00000026450","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:101913","Chml","ENSMUSG00000078185","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:106576","Chpf","ENSMUSG00000032997","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:87893","Chrnd","ENSMUSG00000026251","protein coding gene","protein-coding|protein_coding"
"MGI:87895","Chrng","ENSMUSG00000026253","protein coding gene","protein-coding|protein_coding"
"MGI:2138283","Chst10","ENSMUSG00000026080","protein coding gene","protein-coding|protein_coding"
"MGI:1923957","Clasp1","ENSMUSG00000064302","protein coding gene","protein-coding|protein_coding"
"MGI:107403","Clk1","ENSMUSG00000026034","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1341818","Cnga3","ENSMUSG00000026114","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1920228","Cnih3","ENSMUSG00000026514","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1925828","Cnih4","ENSMUSG00000062169","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2151055","Cnnm3","ENSMUSG00000001138","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2151060","Cnnm4","ENSMUSG00000037408","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:106580","Cnot11","ENSMUSG00000003135","protein coding gene","NOVEL_protein_coding|protein-coding|protein_coding"
"MGI:1916421","Cnppd1","ENSMUSG00000033159","protein coding gene","protein-coding|protein_coding"
"MGI:2445141","Cnst","ENSMUSG00000038949","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:104518","Cntn2","ENSMUSG00000053024","protein coding gene","protein-coding|protein_coding"
"MGI:3643623","Cntnap5a","ENSMUSG00000070695","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3664583","Cntnap5b","ENSMUSG00000067028","protein coding gene","protein-coding|protein_coding"
